Seven Seed,Wins,Ten Seed,Wins,Diff,Year
Seattle SuperSonics*,45,Denver Nuggets,35,10,2000
Detroit Pistons*,42,Boston Celtics,35,7,2000
Portland Trail Blazers*,50,Seattle SuperSonics,44,6,2001
Orlando Magic*,43,Detroit Pistons,32,11,2001
Seattle SuperSonics*,45,Phoenix Suns,36,9,2002
Toronto Raptors*,42,Washington Wizards,37,5,2002
Utah Jazz*,47,Seattle SuperSonics,40,7,2003
Orlando Magic*,42,New York Knicks,37,5,2003
Houston Rockets*,45,Portland Trail Blazers,41,4,2004
New York Knicks*,39,Philadelphia 76ers,33,6,2004
Denver Nuggets*,49,Los Angeles Clippers,37,12,2005
Philadelphia 76ers*,43,Orlando Magic,36,7,2005
Denver Nuggets*,44,New Orleans/Oklahoma City Hornets,38,6,2006
Chicago Bulls*,41,Orlando Magic,36,5,2006
Los Angeles Lakers*,42,New Orleans/Oklahoma City Hornets,39,3,2007
Washington Wizards*,41,Indiana Pacers,35,6,2007
Dallas Mavericks*,51,Portland Trail Blazers,41,10,2008
Philadelphia 76ers*,40,New Jersey Nets,34,6,2008
New Orleans Hornets*,49,Golden State Warriors,29,20,2009
Chicago Bulls*,41,Charlotte Bobcats,35,6,2009
Oklahoma City Thunder*,50,Memphis Grizzlies,40,10,2010
Charlotte Bobcats*,44,Indiana Pacers,32,12,2010
New Orleans Hornets*,46,Phoenix Suns,40,6,2011
Philadelphia 76ers*,41,Charlotte Bobcats,34,7,2011
Utah Jazz*,36,Phoenix Suns,33,3,2012
New York Knicks*,36,Detroit Pistons,25,11,2012
Los Angeles Lakers*,45,Dallas Mavericks,41,4,2013
Boston Celtics*,41,Toronto Raptors,34,7,2013
Memphis Grizzlies*,50,Minnesota Timberwolves,40,10,2014
Charlotte Bobcats*,43,Cleveland Cavaliers,33,10,2014
Dallas Mavericks*,50,Phoenix Suns,39,11,2015
Boston Celtics*,40,Miami Heat,37,3,2015
Memphis Grizzlies*,42,Denver Nuggets,33,9,2016
Indiana Pacers*,45,Washington Wizards,41,4,2016
Memphis Grizzlies*,43,New Orleans Pelicans,34,9,2017
Indiana Pacers*,42,Detroit Pistons,37,5,2017
Minnesota Timberwolves*,47,Los Angeles Clippers,42,5,2018
Miami Heat*,44,Charlotte Hornets,36,8,2018
Los Angeles Clippers*,48,Los Angeles Lakers,37,11,2019
Orlando Magic*,42,Miami Heat,39,3,2019
Dallas Mavericks*,43,Memphis Grizzlies,34,9,2020
Brooklyn Nets*,35,Charlotte Hornets,23,12,2020
